"","-67.78","","","FOOD STORE"
"","-23.81","","","FOODPLACE 2"
"","-74.04","","","COFFEE SHOP"
"","-9.69","","","HOME SUPPLY"
"","-3.77","","","PHARMACY"
"","-30.99","","","PETROL DEPOT"
"","-0.22","","","GAS!"
"","-51.48","","","FIXUP HOME PLACE"
"","-42.91","","","FOOD STORE"
"","-37.97","","","SUPER FOOD PLACE"
"","-92.39","","","FIXUP HOME PLACE"
"","-76.31","","","FOODPLACE FUEL"
"","-4.78","","","COFFEE SHOP"
"","-41.65","","","ONLINE RETAIL THING"
"","-15.58","","","RESTAURANT 2"
"","-36.38","","","RESTAURANT 2"
"","-51.23","","","DOCTOR OFFICE"
"","-3.25","","","FOODPLACE 1"
"","-13.99","","","RESTAURANT 1"
"","-3.63","","","FOODPLACE FUEL"
