"","-10.53","","","PHARMACY"
"","-6.53","","","FOODPLACE 2"
"","-9.91","","","RESTAURANT 2"
"","-36.04","","","HOME SUPPLY"
"","-52.6","","","FOOD STORE"
"","-13.46","","","ONLINE RETAIL THING"
"","-73.03","","","FOOD STORE"
"","-43.76","","","FOODPLACE 1"
"","-36.01","","","PETROL DEPOT"
"","-46.7","","","FOODPLACE 2"
"","-20.08","","","HOME SUPPLY"
"","-19.57","","","FOODPLACE 2"
"","-2.8","","","ONLINE RETAIL THING"
"","-32.18","","","SUPER FOOD PLACE"
"","-13.98","","","FIXUP HOME PLACE"
"","-60.41","","","COFFEE SHOP"
"","-18.8","","","GAS!"
"","-5.39","","","RESTAURANT 3"
"","-58.35","","","ONLINE RETAIL THING"
"","-31.52","","","PHARMACY"
