"","-8.96","","","COFFEE SHOP"
"","-47.45","","","PHARMACY"
"","-15.65","","","FOODPLACE FUEL"
"","-0.53","","","RESTAURANT 1"
"","-2.33","","","RESTAURANT 2"
"","-8.62","","","SUPER FOOD PLACE"
"","-80.72","","","RESTAURANT 1"
"","-11.67","","","PHARMACY"
"","-15.28","","","FOODPLACE 1"
"","-37.54","","","SUPER FOOD PLACE"
"","-47.81","","","PHARMACY"
"","-0.9","","","RESTAURANT 2"
"","-3.19","","","PETROL DEPOT"
"","-83.63","","","FOOD STORE"
"","-0.85","","","FOODPLACE 2"
"","-83.25","","","ONLINE RETAIL THING"
"","-10.6","","","FOODPLACE 1"
"","-10.59","","","FOODPLACE 1"
"","-10.55","","","SUPER FOOD PLACE"
"","-25.61","","","DOCTOR OFFICE"
