"","-10.69","","","PETROL DEPOT"
"","-30.05","","","SUPER FOOD PLACE"
"","-33.5","","","RESTAURANT 1"
"","-11.42","","","SUPER FOOD PLACE"
"","-16.96","","","COFFEE SHOP"
"","-27.03","","","RESTAURANT 2"
"","-3.27","","","ONLINE RETAIL THING"
"","-1.7","","","FOOD STORE"
"","-40.55","","","PHARMACY"
"","-2.21","","","COFFEE SHOP"
"","-1.31","","","DOCTOR OFFICE"
"","-14.35","","","PHARMACY"
"","-2.57","","","FIXUP HOME PLACE"
"","-20.34","","","FIXUP HOME PLACE"
"","-56.86","","","RESTAURANT 1"
"","-1.87","","","FOOD STORE"
"","-23.04","","","PETROL DEPOT"
"","-22.58","","","FIXUP HOME PLACE"
"","-0.64","","","ONLINE RETAIL THING"
"","-39.99","","","COFFEE SHOP"
