"","-53.36","","","PHARMACY"
"","-1.92","","","FOOD STORE"
"","-51.63","","","FOOD STORE"
"","-8.35","","","ONLINE RETAIL THING"
"","-0.37","","","CRAFT PLACE"
"","-7.49","","","FIXUP HOME PLACE"
"","-41.02","","","FOODPLACE 1"
"","-11.42","","","DOCTOR OFFICE"
"","-49.72","","","DOCTOR OFFICE"
"","-34.1","","","FOOD STORE"
"","-11.73","","","RESTAURANT 1"
"","-27.58","","","FOOD STORE"
"","-39.57","","","COFFEE SHOP"
"","-22.81","","","FOODPLACE 1"
"","-23.23","","","COFFEE SHOP"
"","-9.09","","","RESTAURANT 2"
"","-53.31","","","DOCTOR OFFICE"
"","-25.51","","","RESTAURANT 2"
"","-26.78","","","SUPER FOOD PLACE"
"","-53.68","","","FOODPLACE FUEL"
