"","-41.6","","","RESTAURANT 1"
"","-37.05","","","COFFEE SHOP"
"","-1.09","","","FOODPLACE 2"
"","-25.01","","","SUPER FOOD PLACE"
"","-23.41","","","PETROL DEPOT"
"","-5.68","","","FOODPLACE FUEL"
"","-6.93","","","HOME SUPPLY"
"","-14.95","","","FOODPLACE 1"
"","-14.27","","","CRAFT PLACE"
"","-37.94","","","GAS!"
"","-2.23","","","SUPER FOOD PLACE"
"","-13.71","","","FOOD STORE"
"","-2.84","","","FOODPLACE 1"
"","-34.7","","","FOODPLACE 2"
"","-32.45","","","RESTAURANT 1"
"","-71.76","","","PHARMACY"
"","-8.17","","","RESTAURANT 3"
"","-57.55","","","RESTAURANT 3"
"","-2.26","","","RESTAURANT 1"
"","-0.51","","","RESTAURANT 1"
