"","-23.28","","","PETROL DEPOT"
"","-26.57","","","HOME SUPPLY"
"","-4.55","","","FOODPLACE FUEL"
"","-15.74","","","RESTAURANT 3"
"","-18.85","","","RESTAURANT 1"
"","-9.24","","","PHARMACY"
"","-6.75","","","ONLINE RETAIL THING"
"","-30.95","","","FOODPLACE 2"
"","-12.38","","","PHARMACY"
"","-0.52","","","FOOD STORE"
"","-50.18","","","FIXUP HOME PLACE"
"","-40.84","","","PETROL DEPOT"
"","-21.79","","","SUPER FOOD PLACE"
"","-80.52","","","SUPER FOOD PLACE"
"","-0.62","","","CRAFT PLACE"
"","-0.43","","","CRAFT PLACE"
"","-27.72","","","FOODPLACE 2"
"","-4.16","","","CRAFT PLACE"
"","-0.49","","","RESTAURANT 2"
"","-7.74","","","FOODPLACE 2"
