"","-22.77","","","PHARMACY"
"","-33.53","","","FOODPLACE 2"
"","-55.73","","","FOODPLACE 2"
"","-29.91","","","FOODPLACE 2"
"","-23.6","","","RESTAURANT 2"
"","-38.17","","","GAS!"
"","-38.21","","","GAS!"
"","-77.29","","","PETROL DEPOT"
"","-33.62","","","FOODPLACE 1"
"","-13.07","","","DOCTOR OFFICE"
"","-35.2","","","FOODPLACE FUEL"
"","-31.78","","","FOODPLACE 1"
"","-0.08","","","CRAFT PLACE"
"","-21.22","","","FOOD STORE"
"","-46.7","","","PETROL DEPOT"
"","-9.95","","","RESTAURANT 3"
"","-19.25","","","FOOD STORE"
"","-0.28","","","PHARMACY"
"","-1.46","","","COFFEE SHOP"
"","-0.73","","","FOODPLACE FUEL"
