"","-18.51","","","PETROL DEPOT"
"","-21.27","","","SUPER FOOD PLACE"
"","-21.88","","","HOME SUPPLY"
"","-35.41","","","RESTAURANT 1"
"","-17.74","","","RESTAURANT 1"
"","-1.25","","","PETROL DEPOT"
"","-20.3","","","FOOD STORE"
"","-5.35","","","RESTAURANT 2"
"","-55.44","","","RESTAURANT 2"
"","-6.75","","","FOODPLACE 1"
"","-0.62","","","RESTAURANT 1"
"","-0.51","","","HOME SUPPLY"
"","-17.54","","","PETROL DEPOT"
"","-0.09","","","RESTAURANT 2"
"","-6.05","","","COFFEE SHOP"
"","-8.99","","","GAS!"
"","-69.83","","","FOODPLACE 2"
"","-1.07","","","FIXUP HOME PLACE"
"","-11.41","","","FOODPLACE 1"
"","-0.9","","","ONLINE RETAIL THING"
