"","-45.62","","","FOOD STORE"
"","-16.57","","","PHARMACY"
"","-15.67","","","HOME SUPPLY"
"","-19.13","","","RESTAURANT 1"
"","-1.98","","","CRAFT PLACE"
"","-30.05","","","GAS!"
"","-0.23","","","SUPER FOOD PLACE"
"","-53.77","","","GAS!"
"","-2.28","","","ONLINE RETAIL THING"
"","-17.08","","","PETROL DEPOT"
"","-5.67","","","COFFEE SHOP"
"","-46.97","","","CRAFT PLACE"
"","-4.32","","","FOODPLACE 2"
"","-4.11","","","SUPER FOOD PLACE"
"","-2.85","","","GAS!"
"","-2.91","","","FOODPLACE 1"
"","-56.88","","","FOODPLACE 2"
"","-10.48","","","FOODPLACE 1"
"","-70.51","","","FOODPLACE FUEL"
"","-22.23","","","ONLINE RETAIL THING"
